"","dia_ocu","mes_ocu","año_ocu","dia_sem_ocu","hora_ocu","depto_ocu","tipo_veh","color_veh","causa_acc","num_hecho","zona_ocu","modelo_veh","marca_veh","mupio_ocu","g_hora","g_modelo_veh","g_hora_5","areag_ocu","sexo_pil","edad_pil","mayor_menor","estado_pil","corre_base","edad_quinquenales","g_edad"
"6815",5,4,2015,7,15,17,3,3,1,1101,99,9999,99,1705,3,6,2,2,1,34,1,1,NA,7,5
"6816",5,4,2015,7,16,1,4,99,5,4937,1,2014,24,101,3,5,2,1,1,34,1,1,NA,7,5
"6817",5,4,2015,7,16,5,4,99,3,1090,99,9999,99,506,3,6,2,2,2,30,1,1,NA,7,5
"6818",5,4,2015,7,16,14,3,7,2,1104,99,9999,44,1401,3,6,2,2,2,42,1,2,NA,9,7
"6819",5,4,2015,7,16,18,3,4,1,1099,99,9999,44,1804,3,6,2,2,1,47,1,1,NA,10,8
"6820",5,4,2015,7,17,1,4,99,1,1085,5,9999,99,115,3,6,2,1,2,25,1,1,NA,6,4
"6821",5,4,2015,7,17,5,3,99,5,4939,99,9999,99,509,3,6,2,2,1,999,9,1,NA,18,16
"6822",5,4,2015,7,17,15,4,3,1,1097,99,9999,40,1501,3,6,2,2,1,17,2,1,NA,4,2
"6823",5,4,2015,7,18,1,3,4,3,1086,99,2008,44,110,4,4,3,2,1,47,1,1,NA,10,8
"6824",5,4,2015,7,18,10,1,4,1,1093,1,2013,37,1001,4,5,3,1,2,21,1,1,NA,5,3
"6825",5,4,2015,7,19,6,14,1,1,1092,99,2007,2,602,4,4,3,2,1,25,1,1,NA,6,4
"6826",5,4,2015,7,19,14,1,6,5,4942,99,2000,32,1402,4,4,3,2,1,24,1,1,NA,5,3
"6827",5,4,2015,7,19,15,4,99,1,1098,99,2012,40,1501,4,5,3,2,1,30,1,1,NA,7,5
"6828",5,4,2015,7,19,17,3,5,1,1102,99,9999,34,1710,4,6,3,2,2,30,1,1,NA,7,5
"6829",5,4,2015,7,21,4,1,4,1,1105,99,1985,44,407,4,2,3,2,1,30,1,1,NA,7,5
"6830",5,4,2015,7,21,9,1,2,1,1094,99,2006,32,920,4,4,3,2,1,999,9,1,NA,18,16
"6831",5,4,2015,7,21,13,1,99,5,4941,99,9999,99,1312,4,6,3,2,1,999,9,9,NA,18,16
"6832",5,4,2015,7,23,1,1,2,1,1087,1,2004,20,108,4,4,3,1,1,36,1,1,NA,8,6
"6833",5,4,2015,7,23,5,4,99,3,1089,99,9999,99,503,4,6,3,2,1,22,1,1,NA,5,3
"6834",5,4,2015,7,23,6,1,4,2,1091,99,1996,21,608,4,3,3,2,1,30,1,2,NA,7,5
